SUID	abundance	AverageShortestPathLength	BetweennessCentrality	class	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	family	genus	isafeature	IsSingleNode	kingdom	Label	lineage	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	order	oriID	PartnerOfMultiEdgedNodePairs	phylum	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	species	Stress	taxon	TopologicalCoefficient	unknowndegree
606	0.435791766932033	202.716.688	9.9e-07	Leotiomycetes	0.4932993	0	5	4	Incertae sedis	Tetracladium	no	FALSE	Fungi	OTU-FITS2denovo23	Fungi--Ascomycota--Leotiomycetes--Helotiales--Incertae sedis--Incertae sediscross166--Tetracladium--Tetracladium maxilliforme--OTU_FITS2denovo23	OTU-FITS2denovo23	5	605	5	0	Helotiales	OTU-FITS2denovo23	0	Ascomycota	0	0.74320828	57	FALSE	0	OTU-FITS2denovo23	Tetracladium maxilliforme	562	OTU_FITS2denovo23	0.81292059	0
467	0.590657976052293	200.258.732	9.9e-07	none	0.49935401	0.95238095	21	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo380235	Bacteria--OTU_BV5denovo380235	OTU-BV5denovo380235	5	16.166.666.667	21	0	none	OTU-BV5denovo380235	0	none	16	0.74935317	135	FALSE	0	OTU-BV5denovo380235	none	562	OTU_BV5denovo380235	0.21555556	0
415	0.817482759598318	200.258.732	9.9e-07	none	0.49935401	0.95238095	21	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo1350	Bacteria--OTU_BV5denovo1350	OTU-BV5denovo1350	5	16.166.666.667	21	0	none	OTU-BV5denovo1350	0	none	16	0.74935317	151	FALSE	0	OTU-BV5denovo1350	none	562	OTU_BV5denovo1350	0.21555556	0
155	167.571.752.985.138	201.940.492	9.9e-07	Bacilli	0.49519539	0.77777778	10	4	none	none	no	FALSE	Bacteria	Bacilli	Bacteria--Firmicutes--Bacilli	Bacilli	5	315	10	0	none	Bacilli	0	Firmicutes	5	0.74514877	142	FALSE	0	Bacilli	none	562	Bacilli	0.42056075	0
5086	0.559136317000402	200.258.732	9.95e-06	Incertae sedis	0.49935401	0.03030303	12	3	Malasseziales	Incertae sedis1	no	FALSE	Fungi	Incertae sedis1	Fungi--Basidiomycota--Incertae sedis--Incertae sediscross199--Malasseziales--Incertae sedis1	Incertae sedis1	12	437	12	0	Incertae sediscross199	Incertae sedis1	0	Basidiomycota	0	0.74935317	55	FALSE	0	Incertae sedis1	none	7692	Incertae sedis1	0.58166667	0
2302	0.559136317000402	200.258.732	9.95e-06	Incertae sedis	0.49935401	0.03030303	12	3	Malasseziales	Incertae sedis1	no	FALSE	Fungi	Malassezia	Fungi--Basidiomycota--Incertae sedis--Incertae sediscross199--Malasseziales--Incertae sedis1--Incertae sedis1cross200--Malassezia	Malassezia	12	437	12	0	Incertae sediscross199	Malassezia	0	Basidiomycota	0	0.74935317	55	FALSE	0	Malassezia	Incertae sedis1cross200	7692	Malassezia	0.58166667	0
836	0.559136317000402	200.258.732	9.95e-06	Incertae sedis	0.49935401	0.03030303	12	3	Malasseziales	none	no	FALSE	Fungi	Malasseziales	Fungi--Basidiomycota--Incertae sedis--Incertae sediscross199--Malasseziales	Malasseziales	12	437	12	0	Incertae sediscross199	Malasseziales	0	Basidiomycota	0	0.74935317	55	FALSE	0	Malasseziales	none	7692	Malasseziales	0.58166667	0
1348	0.254841768589048	200.258.732	9.91e-06	none	0.49935401	0.03030303	12	3	none	none	no	FALSE	Unclassified	OTU-BV5denovo387806	Unclassified--OTU_BV5denovo387806	OTU-BV5denovo387806	12	44.416.666.667	12	0	none	OTU-BV5denovo387806	0	none	0	0.74935317	77	FALSE	0	OTU-BV5denovo387806	none	7732	OTU_BV5denovo387806	0.59122222	0
1518	0.973293116814202	199.870.634	9.75e-06	none	0.50032362	0.85507246	24	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo945	Bacteria--OTU_BV5denovo945	OTU-BV5denovo945	5	14.295.833.333	24	0	none	OTU-BV5denovo945	0	none	19	0.75032342	161	FALSE	0	OTU-BV5denovo945	none	634	OTU_BV5denovo945	0.19061111	0
828	0.958708562027558	199.870.634	9.75e-06	none	0.50032362	0.85507246	24	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo540	Bacteria--OTU_BV5denovo540	OTU-BV5denovo540	5	14.295.833.333	24	0	none	OTU-BV5denovo540	0	none	19	0.75032342	158	FALSE	0	OTU-BV5denovo540	none	634	OTU_BV5denovo540	0.19061111	0
156	103.280.502.436.425	199.870.634	9.75e-06	none	0.50032362	0.85507246	24	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo1100	Bacteria--OTU_BV5denovo1100	OTU-BV5denovo1100	5	14.295.833.333	24	0	none	OTU-BV5denovo1100	0	none	19	0.75032342	162	FALSE	0	OTU-BV5denovo1100	none	634	OTU_BV5denovo1100	0.19061111	0
4563	0.146171611832039	199.482.536	9.73e-06	none	0.50129702	0.21212121	22	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo232788	Bacteria--OTU_BV5denovo232788	OTU-BV5denovo232788	22	27.640.909.091	22	0	none	OTU-BV5denovo232788	0	none	0	0.75129366	50	FALSE	0	OTU-BV5denovo232788	none	3550	OTU_BV5denovo232788	0.36653002	0
